B1	B2	B3	val
31	97	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	90	151	1
31	97	162	1
31	97	162	1
31	97	162	1
31	105	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	105	162	1
31	105	162	1
31	90	151	1
31	97	162	1
31	90	162	1
31	97	162	1
31	105	162	1
31	90	162	1
31	105	162	1
31	97	151	1
31	97	162	1
31	105	162	1
31	90	162	1
31	105	162	1
31	97	151	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	151	1
31	97	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	90	151	1
31	97	162	1
31	97	151	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	90	151	1
31	97	162	1
31	97	151	1
31	105	162	1
31	90	162	1
31	105	162	1
31	97	162	1
31	97	162	1
31	105	162	1
31	90	162	1
31	105	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	97	151	1
31	97	162	1
31	97	162	1
31	90	151	1
31	105	162	1
31	90	151	1
31	97	162	1
31	97	151	1
31	90	151	1
31	97	162	1
31	90	162	1
31	97	162	1
31	97	151	1
31	97	151	1
31	105	162	1
31	90	162	1
31	105	162	1
31	97	162	1
31	97	162	1
31	105	162	1
31	90	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	90	151	1
31	105	162	1
31	90	162	1
31	97	162	1
31	97	151	1
31	90	151	1
31	105	162	1
31	90	151	1
31	97	162	1
31	97	151	1
31	90	151	1
31	97	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	162	1
31	90	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	90	151	1
31	97	162	1
31	90	151	1
31	97	162	1
31	97	151	1
31	90	151	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	162	1
31	90	162	1
31	97	162	1
31	90	151	1
31	105	162	1
31	97	151	1
31	90	151	1
31	97	162	1
31	97	151	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	97	151	1
31	97	162	1
31	97	162	1
31	90	151	1
31	105	162	1
31	90	151	1
31	97	162	1
31	97	162	1
31	97	162	1
31	105	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	105	162	1
31	90	151	1
31	105	162	1
31	97	151	1
31	90	162	1
31	97	162	1
31	90	151	1
31	105	162	1
31	97	151	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	90	151	1
31	97	162	1
31	97	162	1
31	97	162	1
31	105	162	1
31	97	162	1
31	105	162	1
31	97	162	1
31	97	162	1
31	105	162	1
31	90	162	1
31	105	162	1
31	97	162	1
31	97	162	1
31	105	162	1
31	90	162	1
31	105	162	1
31	97	151	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	90	151	1
31	97	162	1
31	90	162	1
31	97	162	1
31	97	151	1
31	97	151	1
31	105	162	1
31	90	162	1
31	105	162	1
31	97	151	1
31	90	162	1
31	97	162	1
31	90	151	1
31	97	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	90	151	1
31	97	162	1
31	90	151	1
31	97	162	1
31	97	151	1
31	90	151	1
31	105	162	1
31	90	151	1
31	97	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	97	151	1
31	90	151	1
31	97	162	1
31	90	151	1
31	97	162	1
31	90	151	1
31	97	162	1
31	97	162	1
31	90	151	1
31	97	162	1
31	90	151	1
31	97	162	1
31	97	162	1
31	90	151	1
31	105	162	1
31	90	151	1
37	97	162	1
37	105	174	1
37	97	162	1
37	105	162	1
37	105	162	1
37	97	162	1
37	105	162	1
37	97	162	1
37	105	174	1
37	97	162	1
37	97	162	1
37	105	174	1
31	97	162	1
31	105	174	1
31	97	162	1
31	97	162	1
31	105	162	1
31	97	162	1
31	105	162	1
37	97	162	1
31	97	162	1
31	105	162	1
31	90	162	1
31	105	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	174	1
31	97	162	1
31	97	162	1
31	97	162	1
31	90	151	1
31	105	162	1
31	90	151	1
31	97	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	151	1
31	97	162	1
31	97	151	1
31	97	151	1
31	105	162	1
31	90	151	1
31	105	162	1
31	97	162	1
31	97	162	1
31	105	162	1
31	90	162	1
31	105	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	90	151	1
31	97	162	1
31	97	151	1
31	90	151	1
31	105	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	105	162	1
31	90	162	1
31	105	162	1
31	97	162	1
31	97	162	1
31	105	162	1
31	90	162	1
31	105	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	151	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	90	162	1
31	105	162	1
31	105	162	1
31	97	162	1
31	105	162	1
37	90	151	1
31	97	162	1
31	97	151	1
31	97	162	1
31	105	162	1
31	90	162	1
31	105	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	97	151	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	90	162	1
31	97	162	1
31	97	151	1
31	90	151	1
31	97	162	1
31	90	151	1
31	97	162	1
31	97	151	1
31	97	151	1
31	105	162	1
31	90	151	1
31	105	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	151	1
31	97	162	1
31	90	151	1
31	90	162	1
31	97	162	1
31	90	151	1
31	97	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	151	1
31	97	162	1
31	97	151	1
31	90	151	1
31	97	162	1
31	90	151	1
31	97	162	1
31	90	151	1
31	97	151	1
31	105	162	1
31	90	151	1
37	105	174	1
37	97	162	1
37	105	162	1
37	97	162	1
37	97	162	1
43	105	162	1
43	105	174	1
37	112	174	1
37	105	162	1
37	105	174	1
37	105	174	1
37	97	162	1
37	105	174	1
37	97	162	1
37	105	174	1
37	105	162	1
37	97	162	1
37	105	174	1
37	97	162	1
37	105	174	1
37	97	162	1
31	97	162	1
31	105	162	1
31	97	162	1
31	105	162	1
31	97	162	1
31	97	174	1
31	105	174	1
31	90	162	1
31	105	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	174	1
37	90	162	1
37	97	174	1
37	97	162	1
37	90	162	1
37	105	162	1
31	90	162	1
31	97	174	1
31	97	162	1
31	97	162	1
31	105	174	1
31	90	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	105	162	1
31	90	162	1
31	105	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	90	151	1
31	105	162	1
31	97	151	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	162	1
31	97	162	1
37	97	174	1
31	97	162	1
31	105	162	1
31	90	151	1
31	97	162	1
31	97	151	1
31	97	162	1
31	105	162	1
31	90	162	1
31	105	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	97	151	1
31	97	162	1
31	97	151	1
31	90	151	1
31	105	162	1
31	90	151	1
31	97	162	1
31	97	162	1
31	90	162	1
31	97	162	1
37	90	162	1
31	97	162	1
31	90	162	1
31	90	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	97	162	1
31	97	162	1
31	105	162	1
31	90	162	1
31	105	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	90	151	1
31	97	162	1
31	97	162	1
31	97	162	1
31	105	162	1
31	90	162	1
31	105	162	1
31	97	151	1
31	90	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	97	151	1
31	97	162	1
31	97	162	1
31	90	151	1
31	112	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	151	1
31	97	162	1
31	97	151	1
31	90	151	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	162	1
31	90	162	1
31	97	162	1
31	90	151	1
31	97	162	1
31	90	162	1
31	90	162	1
31	97	162	1
31	90	151	1
31	97	162	1
31	90	151	1
31	97	162	1
31	97	162	1
31	90	151	1
37	105	162	1
37	97	162	1
37	105	162	1
37	97	162	1
37	105	162	1
37	105	162	1
37	105	162	1
37	105	174	1
37	97	162	1
37	105	174	1
37	105	162	1
37	105	162	1
37	105	174	1
37	97	162	1
37	112	174	1
37	105	162	1
37	97	174	1
37	105	174	1
37	97	162	1
37	105	162	1
37	97	162	1
37	105	174	1
31	105	174	1
31	97	162	1
31	105	174	1
31	97	162	1
31	105	174	1
31	105	162	1
31	97	162	1
31	105	174	1
31	105	162	1
31	105	174	1
31	97	162	1
31	97	162	1
37	105	174	1
37	97	162	1
37	105	174	1
37	97	162	1
31	97	162	1
31	105	162	1
31	90	162	1
31	105	174	1
31	97	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	174	1
37	97	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	105	162	1
31	90	151	1
31	97	162	1
31	97	162	1
31	97	162	1
31	105	162	1
31	90	162	1
31	97	162	1
31	90	162	1
31	90	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	151	1
31	97	162	1
31	97	151	1
31	97	162	1
31	105	162	1
31	90	151	1
31	105	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	97	151	1
31	97	151	1
31	105	162	1
31	90	151	1
31	97	162	1
31	97	151	1
31	90	162	1
31	97	162	1
31	90	151	1
31	97	162	1
31	90	151	1
31	97	162	1
31	97	162	1
31	90	162	1
31	105	162	1
31	90	139	1
31	97	151	1
31	97	162	1
31	90	162	1
31	105	162	1
31	90	162	1
31	97	162	1
31	97	151	1
31	97	151	1
31	105	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	97	162	1
31	105	162	1
31	90	162	1
31	105	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	151	1
31	97	162	1
31	97	162	1
31	90	151	1
31	105	162	1
31	90	162	1
31	97	162	1
31	97	162	1
31	90	162	1
31	97	162	1
31	90	151	1
31	97	162	1
31	97	151	1
31	90	151	1
37	97	162	1
37	97	162	1
37	105	162	1
37	97	162	1
37	112	162	1
