ID	B1	B2	B3	val
1	212	225	255	2
2	206	225	255	2
3	193	210	255	2
4	181	218	232	2
5	181	210	232	2
6	187	203	244	2
7	187	195	244	2
8	187	188	221	2
9	181	210	221	2
10	187	203	221	2
11	187	188	221	2
12	187	188	209	2
13	187	195	209	2
14	187	218	232	2
15	193	225	255	2
16	193	233	255	2
17	193	240	255	2
18	193	233	255	2
19	206	225	255	2
20	199	225	255	2
21	199	225	244	2
22	206	225	244	2
23	199	218	244	2
24	193	225	255	2
25	193	240	255	2
26	199	255	255	2
27	206	255	255	2
28	199	240	255	2
29	212	240	255	2
30	218	248	255	2
31	224	240	255	2
32	212	180	221	2
33	199	180	209	2
34	193	195	209	2
35	206	203	221	2
36	218	195	209	2
37	224	233	255	2
38	199	210	232	2
39	199	195	197	2
40	193	210	209	2
41	199	233	232	2
42	212	248	244	2
43	218	255	255	2
44	218	255	255	2
45	218	255	255	2
46	218	240	255	2
47	212	233	244	2
48	212	233	232	2
49	212	233	232	2
50	218	233	244	2
51	218	225	244	2
52	199	210	255	2
53	193	210	232	2
54	187	203	232	2
55	187	203	232	2
56	187	203	232	2
57	193	195	244	2
58	193	195	232	2
59	187	203	221	2
60	187	225	232	2
61	193	210	244	2
62	193	188	221	2
63	193	188	197	2
64	187	203	209	2
65	181	225	255	2
66	193	240	255	2
67	193	248	255	2
68	193	255	255	2
69	193	248	255	2
70	199	248	255	2
71	199	248	255	2
72	206	240	255	2
73	212	233	255	2
74	212	218	255	2
75	206	233	244	2
76	193	233	255	2
77	206	240	255	2
78	212	255	255	2
79	212	248	255	2
80	218	248	255	2
81	218	248	255	2
82	218	233	255	2
83	212	180	232	2
84	199	188	197	2
85	199	195	209	2
86	212	195	221	2
87	224	210	232	2
88	224	255	255	2
89	212	225	255	2
90	212	225	244	2
91	199	225	255	2
92	206	233	255	2
93	212	240	255	2
94	218	255	255	2
95	212	255	255	2
96	218	255	255	2
97	212	248	255	2
98	206	240	255	2
99	212	233	244	2
100	218	218	232	2
101	224	210	221	2
102	218	210	221	2
103	212	218	209	2
104	212	218	232	2
105	218	225	232	2
106	218	233	232	2
107	231	255	255	2
108	243	255	255	2
109	255	255	255	2
110	249	255	255	2
111	237	233	255	2
112	224	225	232	2
113	218	218	221	2
114	212	218	232	2
115	206	225	232	2
116	206	233	255	2
117	206	218	255	2
118	206	210	232	2
119	218	218	232	2
120	224	225	244	2
121	224	210	232	2
122	231	203	221	2
123	243	180	197	2
124	243	173	209	2
125	249	165	197	2
126	255	158	186	2
127	249	173	197	2
128	255	165	186	2
129	255	165	197	2
130	249	165	197	2
131	243	180	197	2
132	237	188	221	2
133	231	210	221	2
134	224	225	221	2
135	224	233	232	2
136	224	248	244	2
137	218	240	255	2
138	224	248	255	2
139	231	240	255	2
140	237	225	244	2
141	237	203	221	2
142	243	180	197	2
143	237	165	197	2
144	218	173	197	2
145	218	180	209	2
146	224	188	197	2
147	212	188	221	2
148	231	188	209	2
149	218	180	197	2
150	206	195	197	2
151	206	233	232	2
152	206	248	255	2
153	206	203	244	2
154	206	210	244	2
155	199	210	244	2
156	193	210	244	2
157	193	210	232	2
158	199	218	244	2
159	193	218	244	2
160	199	218	255	2
161	199	240	255	2
162	199	210	255	2
163	206	203	232	2
164	199	195	221	2
165	187	203	221	2
166	187	233	255	2
167	193	248	255	2
168	199	248	255	2
169	193	255	255	2
170	199	255	255	2
171	206	255	255	2
172	218	255	255	2
173	224	255	255	2
174	218	240	255	2
175	212	233	255	2
176	212	240	255	2
177	199	248	255	2
178	218	255	255	2
179	224	255	255	2
180	231	255	255	2
181	237	255	255	2
182	218	248	255	2
183	212	218	255	2
184	199	188	232	2
185	193	195	209	2
186	199	203	221	2
187	212	188	209	2
188	237	218	232	2
189	231	255	255	2
190	218	233	255	2
191	224	240	255	2
192	212	248	255	2
193	212	248	255	2
194	212	255	255	2
195	212	255	255	2
196	206	255	255	2
197	206	255	255	2
198	212	248	255	2
199	212	240	255	2
200	212	233	244	2
201	224	210	221	2
202	218	203	221	2
203	218	210	221	2
204	212	225	221	2
205	212	218	255	2
206	218	218	232	2
207	218	218	221	2
208	224	233	244	2
209	231	255	255	2
210	231	255	255	2
211	231	255	255	2
212	224	233	255	2
213	218	210	221	2
214	212	195	209	2
215	212	195	209	2
216	206	218	221	2
217	206	233	244	2
218	206	233	255	2
219	212	225	255	2
220	231	225	255	2
221	243	210	244	2
222	249	195	221	2
223	243	188	197	2
224	237	173	186	2
225	237	173	209	2
226	231	173	209	2
227	224	180	209	2
228	224	188	209	2
