ID	B1	B2	B3	val
1	156	127	127	3
2	174	150	151	3
3	193	150	174	3
4	212	180	186	3
5	218	180	186	3
6	231	173	174	3
7	212	158	162	3
8	199	120	139	3
9	193	97	127	3
10	187	105	127	3
11	168	97	116	3
12	156	82	104	3
13	156	90	104	3
14	156	90	104	3
15	156	97	116	3
16	162	90	104	3
17	156	75	93	3
18	156	82	81	3
19	168	82	104	3
20	187	105	116	3
21	206	135	127	3
22	212	150	162	3
23	206	135	174	3
24	206	90	116	3
25	206	97	116	3
26	206	90	104	3
27	199	90	104	3
28	206	105	104	3
29	212	90	104	3
30	218	105	116	3
31	218	105	127	3
32	212	105	127	3
33	212	105	116	3
34	212	82	116	3
35	212	97	104	3
36	218	105	116	3
37	206	105	127	3
38	199	105	116	3
39	199	97	127	3
40	199	112	127	3
41	193	120	139	3
42	187	112	139	3
43	193	105	116	3
44	193	82	104	3
45	199	97	116	3
46	218	105	116	3
47	218	120	127	3
48	224	143	139	3
49	224	127	162	3
50	212	120	139	3
51	206	105	116	3
52	193	105	116	3
53	193	112	116	3
54	193	112	116	3
55	199	143	151	3
56	224	97	116	3
57	206	82	104	3
58	193	97	104	3
59	174	82	104	3
60	149	82	104	3
61	156	82	104	3
62	168	82	104	3
63	181	90	104	3
64	181	75	104	3
65	193	82	104	3
66	206	90	104	3
67	218	90	104	3
68	224	97	116	3
69	224	90	104	3
70	224	97	116	3
71	218	97	116	3
72	206	97	116	3
73	199	97	116	3
74	193	82	104	3
75	181	90	104	3
76	162	82	104	3
77	162	82	93	3
78	174	90	93	3
79	181	82	104	3
80	187	90	104	3
81	212	97	116	3
82	224	112	127	3
83	231	120	116	3
84	231	120	127	3
85	224	112	139	3
86	212	112	127	3
87	218	120	127	3
88	231	135	127	3
89	231	127	127	3
90	218	120	139	3
91	199	105	127	3
92	181	105	116	3
93	174	105	116	3
94	174	97	104	3
95	168	105	104	3
96	174	97	104	3
97	156	90	104	3
98	156	97	104	3
99	162	82	104	3
100	156	90	93	3
101	162	82	104	3
102	156	82	104	3
103	156	90	116	3
104	156	82	104	3
105	143	90	93	3
106	137	90	104	3
107	143	82	104	3
108	149	90	93	3
109	156	97	93	3
110	168	127	127	3
111	187	165	174	3
112	187	173	186	3
113	193	150	174	3
114	199	150	151	3
115	199	143	151	3
116	199	143	139	3
117	181	135	127	3
118	181	105	116	3
119	181	82	104	3
120	174	97	116	3
121	162	82	104	3
122	143	82	93	3
123	143	90	93	3
124	156	75	93	3
125	162	90	93	3
126	168	82	104	3
127	174	75	104	3
128	181	82	93	3
129	187	82	104	3
130	193	97	104	3
131	193	112	116	3
132	193	120	127	3
133	199	105	127	3
134	199	90	104	3
135	199	97	104	3
136	199	90	104	3
137	199	97	116	3
138	199	90	116	3
139	206	82	104	3
140	206	105	116	3
141	206	97	116	3
142	206	97	116	3
143	206	97	116	3
144	206	82	116	3
145	206	105	116	3
146	212	105	116	3
147	206	105	116	3
148	199	105	116	3
149	199	105	116	3
150	193	120	116	3
151	193	112	127	3
152	187	105	127	3
153	187	97	116	3
154	193	82	116	3
155	212	105	116	3
156	231	97	116	3
157	224	127	127	3
158	231	143	151	3
159	231	135	162	3
160	218	127	162	3
161	206	105	139	3
162	193	105	127	3
163	181	97	116	3
164	174	97	116	3
165	174	120	127	3
166	243	97	116	3
167	218	90	116	3
168	206	97	104	3
169	199	82	104	3
170	193	90	104	3
171	206	82	104	3
172	212	82	104	3
173	218	90	104	3
174	224	75	104	3
175	231	90	116	3
176	231	90	116	3
177	237	90	116	3
178	243	105	116	3
179	243	97	116	3
180	243	112	127	3
181	243	105	116	3
182	224	97	116	3
183	224	97	116	3
184	212	82	116	3
185	199	97	116	3
186	193	90	116	3
187	199	90	104	3
188	212	97	104	3
189	212	97	104	3
190	218	105	127	3
191	224	97	116	3
192	231	105	127	3
193	237	127	127	3
194	237	120	127	3
195	224	112	139	3
196	218	112	127	3
197	224	120	127	3
198	231	120	127	3
199	218	105	116	3
200	199	105	127	3
201	181	97	104	3
202	174	97	104	3
203	181	105	104	3
204	187	97	104	3
205	187	127	127	3
206	181	105	127	3
207	156	90	104	3
208	156	82	104	3
209	156	75	104	3
210	156	90	93	3
211	162	82	104	3
212	162	90	104	3
213	156	82	104	3
214	156	82	104	3
215	156	90	104	3
216	143	82	104	3
217	149	82	104	3
218	168	90	104	3
219	187	112	104	3
220	199	150	139	3
221	212	180	186	3
222	199	180	186	3
223	206	158	174	3
224	193	143	151	3
225	187	127	139	3
226	174	120	162	3
227	162	112	127	3
228	162	97	104	3
229	162	82	104	3
230	156	90	104	3
231	149	75	104	3
232	143	82	93	3
233	149	82	93	3
234	162	75	93	3
235	174	90	93	3
236	181	67	104	3
237	199	82	104	3
238	206	90	104	3
239	206	90	104	3
240	199	97	116	3
241	199	82	104	3
242	193	90	104	3
243	193	97	104	3
244	193	97	104	3
245	193	105	93	3
246	193	97	116	3
247	193	97	116	3
248	199	90	104	3
249	206	90	104	3
250	199	97	104	3
251	199	90	104	3
252	199	97	116	3
253	199	90	116	3
254	199	90	116	3
255	206	97	116	3
256	206	90	116	3
257	199	97	116	3
258	212	97	104	3
259	199	90	104	3
260	193	105	116	3
261	193	90	104	3
262	181	90	116	3
263	187	90	104	3
264	187	90	104	3
265	206	97	104	3
266	224	97	116	3
267	231	112	127	3
268	237	127	151	3
269	237	127	162	3
270	224	127	162	3
271	212	97	139	3
272	199	105	127	3
273	187	90	116	3
274	174	90	104	3
275	162	97	104	3
276	224	90	104	3
277	206	90	116	3
278	206	97	116	3
279	212	90	104	3
280	224	97	104	3
281	231	90	116	3
282	243	90	116	3
283	249	97	116	3
284	249	90	116	3
285	249	97	127	3
286	249	90	116	3
287	249	97	127	3
288	249	97	127	3
289	243	97	127	3
290	249	120	127	3
291	249	105	127	3
292	231	105	116	3
293	243	97	116	3
294	231	90	116	3
295	218	97	116	3
296	212	97	116	3
297	212	105	116	3
298	224	105	116	3
299	231	105	116	3
300	231	112	127	3
301	231	97	116	3
302	224	120	127	3
303	237	127	139	3
304	231	120	139	3
305	224	112	116	3
306	224	120	127	3
307	224	120	139	3
308	231	112	127	3
309	206	97	104	3
310	187	105	116	3
311	193	97	104	3
312	193	112	116	3
313	199	120	127	3
314	212	120	139	3
315	206	127	139	3
316	187	105	127	3
317	162	90	93	3
318	156	75	93	3
319	156	82	104	3
320	156	90	93	3
321	156	90	104	3
322	143	97	93	3
323	149	90	104	3
324	156	90	104	3
325	162	97	104	3
326	156	75	104	3
327	162	75	104	3
328	174	75	104	3
329	181	90	104	3
330	193	127	116	3
331	199	143	139	3
332	199	158	162	3
333	193	135	139	3
334	187	120	127	3
335	168	120	127	3
336	162	105	116	3
337	156	105	116	3
338	162	90	104	3
339	156	82	104	3
340	149	82	104	3
341	143	75	104	3
342	149	82	93	3
343	162	75	104	3
344	168	82	104	3
345	174	90	104	3
346	187	82	104	3
347	206	90	93	3
348	206	97	104	3
349	212	97	104	3
350	212	90	104	3
351	212	75	104	3
352	212	97	104	3
353	212	97	104	3
354	206	105	116	3
355	206	112	127	3
356	206	112	139	3
357	206	105	139	3
358	206	97	116	3
359	199	90	104	3
360	199	90	104	3
361	199	82	104	3
362	199	97	104	3
363	206	90	104	3
364	199	90	116	3
365	199	97	116	3
366	199	90	104	3
367	206	97	116	3
368	206	90	116	3
369	199	90	116	3
370	199	90	116	3
371	193	75	104	3
372	193	90	116	3
373	193	82	104	3
374	187	90	116	3
375	206	97	116	3
376	218	97	116	3
377	231	120	127	3
378	237	120	139	3
379	237	120	151	3
380	231	112	139	3
381	218	90	116	3
382	206	97	116	3
383	193	82	116	3
384	181	82	104	3
385	168	82	104	3
386	193	82	104	3
387	193	82	104	3
388	206	90	104	3
389	218	90	104	3
390	237	97	116	3
391	249	97	116	3
392	255	97	116	3
393	255	90	116	3
394	243	90	116	3
395	243	97	127	3
396	243	90	116	3
397	237	105	116	3
398	243	105	116	3
399	243	105	127	3
400	249	120	127	3
401	249	112	127	3
402	243	112	127	3
403	243	105	127	3
404	231	105	127	3
405	231	105	127	3
406	224	105	127	3
407	224	127	127	3
408	231	112	127	3
409	224	105	127	3
410	224	105	127	3
411	224	97	116	3
412	218	112	127	3
413	231	105	127	3
414	218	105	116	3
415	218	112	116	3
416	224	120	127	3
417	218	112	139	3
418	218	97	127	3
419	199	97	116	3
420	187	105	104	3
421	199	112	116	3
422	212	127	151	3
423	218	127	139	3
424	218	120	139	3
425	212	112	127	3
426	199	105	104	3
427	187	97	104	3
428	168	82	104	3
429	162	82	104	3
430	149	82	104	3
431	137	75	104	3
432	131	90	93	3
433	124	82	93	3
434	143	90	93	3
435	149	97	104	3
436	156	90	104	3
437	162	97	104	3
438	162	82	104	3
439	168	90	104	3
440	168	105	104	3
441	174	112	116	3
442	174	127	127	3
443	174	97	116	3
444	174	105	116	3
445	168	105	116	3
446	162	90	116	3
447	162	97	104	3
448	162	82	116	3
449	156	82	104	3
450	149	75	104	3
451	143	75	104	3
452	143	82	104	3
453	162	82	104	3
454	174	82	104	3
455	174	90	104	3
456	181	82	104	3
457	187	97	104	3
458	199	97	104	3
459	206	97	104	3
460	212	90	104	3
461	212	90	104	3
462	212	97	116	3
463	212	90	104	3
464	199	105	116	3
465	199	112	127	3
466	193	112	127	3
467	199	105	139	3
468	199	97	116	3
469	199	90	116	3
470	206	82	104	3
471	206	82	104	3
472	206	97	104	3
473	199	82	104	3
474	187	90	116	3
475	181	90	104	3
476	181	90	104	3
477	187	97	116	3
478	193	90	104	3
479	193	97	116	3
480	206	97	116	3
481	199	90	116	3
482	199	97	116	3
483	199	82	104	3
484	193	97	116	3
485	206	90	116	3
486	212	97	116	3
487	224	120	127	3
488	231	112	139	3
489	224	112	127	3
490	224	97	116	3
491	212	90	116	3
492	206	97	116	3
493	199	75	104	3
494	187	82	104	3
495	181	82	104	3
496	193	82	104	3
497	199	90	104	3
498	206	90	104	3
499	218	90	116	3
500	243	97	116	3
501	249	97	116	3
502	249	90	116	3
503	249	90	116	3
504	224	90	116	3
505	231	90	116	3
506	231	90	104	3
507	237	105	127	3
508	243	105	116	3
509	243	112	127	3
510	249	120	139	3
511	249	112	139	3
512	249	120	127	3
513	243	112	127	3
514	237	120	127	3
515	237	127	127	3
516	231	112	139	3
517	231	127	139	3
518	231	112	139	3
519	218	97	127	3
520	218	97	116	3
521	224	90	116	3
522	218	105	116	3
523	218	90	116	3
524	212	97	116	3
525	224	97	116	3
526	224	105	127	3
527	218	105	127	3
528	212	82	116	3
529	199	105	116	3
530	206	120	139	3
531	218	127	151	3
532	218	135	151	3
533	212	120	127	3
534	212	112	127	3
535	212	105	116	3
536	224	105	116	3
537	224	105	127	3
538	199	90	139	3
539	181	97	116	3
540	162	90	104	3
541	143	75	104	3
542	131	82	93	3
543	131	75	93	3
544	137	90	93	3
545	149	90	104	3
546	156	90	104	3
547	156	97	104	3
548	156	75	104	3
549	149	97	104	3
550	156	105	104	3
551	156	112	104	3
552	162	112	116	3
553	168	105	104	3
554	174	112	116	3
555	168	112	116	3
556	168	105	116	3
557	168	105	116	3
558	168	82	104	3
559	162	90	104	3
560	162	82	104	3
561	156	82	104	3
562	162	90	116	3
563	168	82	104	3
564	174	90	104	3
565	181	90	104	3
566	181	90	116	3
567	181	90	116	3
568	187	82	104	3
569	193	90	104	3
570	199	90	104	3
571	193	90	104	3
572	187	82	104	3
573	181	90	104	3
574	174	105	104	3
575	187	105	116	3
576	174	97	116	3
577	174	90	116	3
578	181	82	104	3
579	181	90	104	3
580	187	82	104	3
581	187	82	104	3
582	187	90	104	3
583	181	75	104	3
584	168	90	116	3
585	162	82	104	3
586	162	90	104	3
587	168	90	104	3
588	174	82	104	3
589	181	105	104	3
590	193	97	116	3
591	193	97	116	3
592	193	97	116	3
593	199	82	116	3
