ID	B1	B2	B3	val
1	31	97	162	1
2	31	90	162	1
3	31	97	162	1
4	31	97	162	1
5	31	90	162	1
6	31	105	162	1
7	31	90	151	1
8	31	97	162	1
9	31	97	162	1
10	31	97	162	1
11	31	105	162	1
12	31	90	162	1
13	31	97	162	1
14	31	97	162	1
15	31	97	162	1
16	31	105	162	1
17	31	105	162	1
18	31	90	151	1
19	31	97	162	1
20	31	90	162	1
21	31	97	162	1
22	31	105	162	1
23	31	90	162	1
24	31	105	162	1
25	31	97	151	1
26	31	97	162	1
27	31	105	162	1
28	31	90	162	1
29	31	105	162	1
30	31	97	151	1
31	31	97	162	1
32	31	97	162	1
33	31	90	162	1
34	31	105	162	1
35	31	90	162	1
36	31	97	162	1
37	31	97	162	1
38	31	90	162	1
39	31	105	162	1
40	31	90	162	1
41	31	97	162	1
42	31	97	162	1
43	31	90	162	1
44	31	97	162	1
45	31	90	162	1
46	31	97	162	1
47	31	97	162	1
48	31	90	162	1
49	31	97	162	1
50	31	90	151	1
51	31	97	162	1
52	31	90	162	1
53	31	97	162	1
54	31	97	162	1
55	31	90	151	1
56	31	97	162	1
57	31	97	151	1
58	31	97	162	1
59	31	97	162	1
60	31	90	162	1
61	31	105	162	1
62	31	90	151	1
63	31	97	162	1
64	31	97	151	1
65	31	105	162	1
66	31	90	162	1
67	31	105	162	1
68	31	97	162	1
69	31	97	162	1
70	31	105	162	1
71	31	90	162	1
72	31	105	162	1
73	31	97	162	1
74	31	97	162	1
75	31	97	162	1
76	31	90	162	1
77	31	105	162	1
78	31	97	151	1
79	31	97	162	1
80	31	97	162	1
81	31	90	151	1
82	31	105	162	1
83	31	90	151	1
84	31	97	162	1
85	31	97	151	1
86	31	90	151	1
87	31	97	162	1
88	31	90	162	1
89	31	97	162	1
90	31	97	151	1
91	31	97	151	1
92	31	105	162	1
93	31	90	162	1
94	31	105	162	1
95	31	97	162	1
96	31	97	162	1
97	31	105	162	1
98	31	90	162	1
99	31	97	162	1
100	31	90	162	1
101	31	97	162	1
102	31	97	162	1
103	31	90	151	1
104	31	105	162	1
105	31	90	162	1
106	31	97	162	1
107	31	97	151	1
108	31	90	151	1
109	31	105	162	1
110	31	90	151	1
111	31	97	162	1
112	31	97	151	1
113	31	90	151	1
114	31	97	162	1
115	31	90	162	1
116	31	97	162	1
117	31	97	162	1
118	31	90	162	1
119	31	97	162	1
120	31	90	162	1
121	31	97	162	1
122	31	90	162	1
123	31	90	162	1
124	31	97	162	1
125	31	90	162	1
126	31	97	162	1
127	31	90	162	1
128	31	97	162	1
129	31	97	162	1
130	31	90	151	1
131	31	97	162	1
132	31	90	151	1
133	31	97	162	1
134	31	97	151	1
135	31	90	151	1
136	31	97	162	1
137	31	90	162	1
138	31	97	162	1
139	31	90	162	1
140	31	90	162	1
141	31	97	162	1
142	31	90	151	1
143	31	105	162	1
144	31	97	151	1
145	31	90	151	1
146	31	97	162	1
147	31	97	151	1
148	31	97	162	1
149	31	97	162	1
150	31	90	162	1
151	31	105	162	1
152	31	97	151	1
153	31	97	162	1
154	31	97	162	1
155	31	90	151	1
156	31	105	162	1
157	31	90	151	1
158	31	97	162	1
159	31	97	162	1
160	31	97	162	1
161	31	105	162	1
162	31	90	162	1
163	31	97	162	1
164	31	97	162	1
165	31	97	162	1
166	31	105	162	1
167	31	90	151	1
168	31	105	162	1
169	31	97	151	1
170	31	90	162	1
171	31	97	162	1
172	31	90	151	1
173	31	105	162	1
174	31	97	151	1
175	31	97	162	1
176	31	97	162	1
177	31	90	162	1
178	31	105	162	1
179	31	90	162	1
180	31	97	162	1
181	31	97	162	1
182	31	90	162	1
183	31	105	162	1
184	31	90	151	1
185	31	97	162	1
186	31	97	162	1
187	31	97	162	1
188	31	105	162	1
189	31	97	162	1
190	31	105	162	1
191	31	97	162	1
192	31	97	162	1
193	31	105	162	1
194	31	90	162	1
195	31	105	162	1
196	31	97	162	1
197	31	97	162	1
198	31	105	162	1
199	31	90	162	1
200	31	105	162	1
201	31	97	151	1
202	31	97	162	1
203	31	97	162	1
204	31	90	162	1
205	31	105	162	1
206	31	90	162	1
207	31	97	162	1
208	31	97	162	1
209	31	90	151	1
210	31	97	162	1
211	31	90	162	1
212	31	97	162	1
213	31	97	151	1
214	31	97	151	1
215	31	105	162	1
216	31	90	162	1
217	31	105	162	1
218	31	97	151	1
219	31	90	162	1
220	31	97	162	1
221	31	90	151	1
222	31	97	162	1
223	31	97	162	1
224	31	97	162	1
225	31	97	162	1
226	31	90	151	1
227	31	97	162	1
228	31	90	151	1
229	31	97	162	1
230	31	97	151	1
231	31	90	151	1
232	31	105	162	1
233	31	90	151	1
234	31	97	162	1
235	31	97	162	1
236	31	90	162	1
237	31	97	162	1
238	31	90	162	1
239	31	97	162	1
240	31	97	151	1
241	31	90	151	1
242	31	97	162	1
243	31	90	151	1
244	31	97	162	1
245	31	90	151	1
246	31	97	162	1
247	31	97	162	1
248	31	90	151	1
249	31	97	162	1
250	31	90	151	1
251	31	97	162	1
252	31	97	162	1
253	31	90	151	1
254	31	105	162	1
255	31	90	151	1
256	37	97	162	1
257	37	105	174	1
258	37	97	162	1
259	37	105	162	1
260	37	105	162	1
261	37	97	162	1
262	37	105	162	1
263	37	97	162	1
264	37	105	174	1
265	37	97	162	1
266	37	97	162	1
267	37	105	174	1
268	31	97	162	1
269	31	105	174	1
270	31	97	162	1
271	31	97	162	1
272	31	105	162	1
273	31	97	162	1
274	31	105	162	1
275	37	97	162	1
276	31	97	162	1
277	31	105	162	1
278	31	90	162	1
279	31	105	162	1
280	31	97	162	1
281	31	97	162	1
282	31	97	162	1
283	31	90	162	1
284	31	105	174	1
285	31	97	162	1
286	31	97	162	1
287	31	97	162	1
288	31	90	151	1
289	31	105	162	1
290	31	90	151	1
291	31	97	162	1
292	31	97	162	1
293	31	90	162	1
294	31	97	162	1
295	31	90	151	1
296	31	97	162	1
297	31	97	151	1
298	31	97	151	1
299	31	105	162	1
300	31	90	151	1
301	31	105	162	1
302	31	97	162	1
303	31	97	162	1
304	31	105	162	1
305	31	90	162	1
306	31	105	162	1
307	31	97	162	1
308	31	97	162	1
309	31	97	162	1
310	31	90	162	1
311	31	105	162	1
312	31	90	151	1
313	31	97	162	1
314	31	97	151	1
315	31	90	151	1
316	31	105	162	1
317	31	90	162	1
318	31	97	162	1
319	31	97	162	1
320	31	97	162	1
321	31	105	162	1
322	31	90	162	1
323	31	105	162	1
324	31	97	162	1
325	31	97	162	1
326	31	105	162	1
327	31	90	162	1
328	31	105	162	1
329	31	97	162	1
330	31	97	162	1
331	31	97	162	1
332	31	90	162	1
333	31	97	162	1
334	31	90	151	1
335	31	97	162	1
336	31	97	162	1
337	31	90	162	1
338	31	105	162	1
339	31	90	162	1
340	31	105	162	1
341	31	105	162	1
342	31	97	162	1
343	31	105	162	1
344	37	90	151	1
345	31	97	162	1
346	31	97	151	1
347	31	97	162	1
348	31	105	162	1
349	31	90	162	1
350	31	105	162	1
351	31	97	162	1
352	31	97	162	1
353	31	97	162	1
354	31	90	162	1
355	31	105	162	1
356	31	97	151	1
357	31	97	162	1
358	31	97	162	1
359	31	90	162	1
360	31	105	162	1
361	31	90	162	1
362	31	97	162	1
363	31	97	151	1
364	31	90	151	1
365	31	97	162	1
366	31	90	151	1
367	31	97	162	1
368	31	97	151	1
369	31	97	151	1
370	31	105	162	1
371	31	90	151	1
372	31	105	162	1
373	31	97	162	1
374	31	90	162	1
375	31	97	162	1
376	31	90	151	1
377	31	97	162	1
378	31	90	151	1
379	31	90	162	1
380	31	97	162	1
381	31	90	151	1
382	31	97	162	1
383	31	90	162	1
384	31	97	162	1
385	31	97	162	1
386	31	90	162	1
387	31	97	162	1
388	31	90	151	1
389	31	97	162	1
390	31	97	151	1
391	31	90	151	1
392	31	97	162	1
393	31	90	151	1
394	31	97	162	1
395	31	90	151	1
396	31	97	151	1
397	31	105	162	1
398	31	90	151	1
399	37	105	174	1
400	37	97	162	1
401	37	105	162	1
402	37	97	162	1
403	37	97	162	1
404	43	105	162	1
405	43	105	174	1
406	37	112	174	1
407	37	105	162	1
408	37	105	174	1
409	37	105	174	1
410	37	97	162	1
411	37	105	174	1
412	37	97	162	1
413	37	105	174	1
414	37	105	162	1
415	37	97	162	1
416	37	105	174	1
417	37	97	162	1
418	37	105	174	1
419	37	97	162	1
420	31	97	162	1
421	31	105	162	1
422	31	97	162	1
423	31	105	162	1
424	31	97	162	1
425	31	97	174	1
426	31	105	174	1
427	31	90	162	1
428	31	105	162	1
429	31	97	162	1
430	31	97	162	1
431	31	97	162	1
432	31	90	162	1
433	31	105	174	1
434	37	90	162	1
435	37	97	174	1
436	37	97	162	1
437	37	90	162	1
438	37	105	162	1
439	31	90	162	1
440	31	97	174	1
441	31	97	162	1
442	31	97	162	1
443	31	105	174	1
444	31	90	162	1
445	31	97	162	1
446	31	97	162	1
447	31	97	162	1
448	31	105	162	1
449	31	90	162	1
450	31	105	162	1
451	31	97	162	1
452	31	97	162	1
453	31	97	162	1
454	31	90	151	1
455	31	105	162	1
456	31	97	151	1
457	31	97	162	1
458	31	97	162	1
459	31	90	162	1
460	31	105	162	1
461	31	90	162	1
462	31	97	162	1
463	31	97	162	1
464	31	90	162	1
465	31	97	162	1
466	31	90	162	1
467	31	97	162	1
468	37	97	174	1
469	31	97	162	1
470	31	105	162	1
471	31	90	151	1
472	31	97	162	1
473	31	97	151	1
